"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Gigi D'agostino","Lily","F","3","Burns","241.73669","free","New York-Newark-Jersey City, NY-NJ-PA","305","Emotions","32"
"Great Lake Swimmers","Avery","F","7","Watkins","185.46893","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Falling Into the Sky","30"
"Linkin Park","Lily","F","4","Burns","175.38567","free","New York-Newark-Jersey City, NY-NJ-PA","305","Lying From You (Album Version)","32"
"the bird and the bee","Avery","F","8","Watkins","225.17506","paid","San Jose-Sunnyvale-Santa Clara, CA","130","My Love","30"
"Martine McCutcheon","Jizelle","F","3","Benjamin","185.05098","free","Plymouth, IN","126","The Lady Is A Tramp (From 'Babes In Arms')","2"
"Justin Bieber","Lily","F","5","Burns","191.55546","free","New York-Newark-Jersey City, NY-NJ-PA","305","Love Me","32"
"Leo GarcÃÂ­a","Katherine","F","0","Gay","160.91383","free","San Antonio-New Braunfels, TX","266","Nadie Salva","57"
"Matt Redman","Avery","F","9","Watkins","289.35791","paid","San Jose-Sunnyvale-Santa Clara, CA","130","You Never Let Go","30"
"Coldplay","Katherine","F","1","Gay","268.38159","free","San Antonio-New Braunfels, TX","266","Yellow","57"
"DHT Feat. EdmÃÂ©e","Avery","F","10","Watkins","229.98159","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Listen To Your Heart","30"
"Tarkan","Avery","F","11","Watkins","194.16771","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Simarik","30"
"The Rifles","Avery","F","12","Watkins","147.87873","paid","San Jose-Sunnyvale-Santa Clara, CA","130","For The Meantime","30"
"The Killers","Avery","F","13","Watkins","491.57179","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Human","30"
"J. Geils Band","Jizelle","F","5","Benjamin","224.44363","free","Plymouth, IN","126","Love Stinks","2"
"Shakira","Jizelle","F","6","Benjamin","148.1922","free","Plymouth, IN","126","Pienso En Ti","2"
"Radiohead","Avery","F","14","Watkins","231.91465","paid","San Jose-Sunnyvale-Santa Clara, CA","130","(Nice Dream)","30"
"Muse","Avery","F","15","Watkins","304.84853","paid","San Jose-Sunnyvale-Santa Clara, CA","130","Uprising","30"
"Spoon","Mohammad","M","0","Rodriguez","222.32771","free","Sacramento--Roseville--Arden-Arcade, CA","312","The Underdog (Album version)","88"
"Blind Pilot","Mohammad","M","1","Rodriguez","195.39546","free","Sacramento--Roseville--Arden-Arcade, CA","312","Things I Cannot Recall","88"
"Delirious?","Mohammad","M","2","Rodriguez","397.26975","free","Sacramento--Roseville--Arden-Arcade, CA","312","History Maker","88"
"Incubus","Kate","F","0","Harrell","237.06077","paid","Lansing-East Lansing, MI","293","Love Hurts","97"
"No Te Va Gustar","Kate","F","1","Harrell","162.95138","paid","Lansing-East Lansing, MI","293","No Llegas A MÃÂ­","97"
"Radiohead","Kate","F","2","Harrell","321.27955","paid","Lansing-East Lansing, MI","293","There_ There","97"
"Nas","Kate","F","3","Harrell","268.7473","paid","Lansing-East Lansing, MI","293","Black President","97"
"Samajona","Kate","F","4","Harrell","178.36363","paid","Lansing-East Lansing, MI","293","Shake Your Body","97"
"Chicane","Kate","F","5","Harrell","218.33098","paid","Lansing-East Lansing, MI","293","Love On The Run","97"
"Lupe Fiasco","Kate","F","6","Harrell","280.52853","paid","Lansing-East Lansing, MI","293","American Terrorist [feat. Matthew Santos] (Explicit Album Version)","97"
"Madonna","Kate","F","7","Harrell","260.75383","paid","Lansing-East Lansing, MI","293","Beautiful Stranger","97"
"Telex","Kate","F","8","Harrell","352.83546","paid","Lansing-East Lansing, MI","293","On The Road Again (Pigna People Remix)","97"
"Modest Mouse","Kate","F","9","Harrell","209.52771","paid","Lansing-East Lansing, MI","293","Float On","97"
"Cassandra Wilson","Ryan","M","0","Smith","283.0624","free","San Jose-Sunnyvale-Santa Clara, CA","322","Dust My Broom","26"
"Eminem / Dina Rae","Kate","F","10","Harrell","350.11873","paid","Lansing-East Lansing, MI","293","Superman","97"
"Eliza Doolittle","Ryan","M","1","Smith","200.30649","free","San Jose-Sunnyvale-Santa Clara, CA","322","Police Car","26"
"Vivian Green","Kate","F","11","Harrell","336.43057","paid","Lansing-East Lansing, MI","293","Love For Sale","97"
"Dean Martin","Kate","F","12","Harrell","185.83465","paid","Lansing-East Lansing, MI","293","Non Dimenticar","97"
"Skid Row","Kate","F","13","Harrell","218.64444","paid","Lansing-East Lansing, MI","293","Swallow Me (The Real You)","97"
"Destroy The Runner","Kate","F","14","Harrell","232.09751","paid","Lansing-East Lansing, MI","293","Mr. And Mrs. Cuckoldom","97"
"BjÃÂ¶rk","Kate","F","15","Harrell","348.57751","paid","Lansing-East Lansing, MI","293","Undo","97"
"Green Day","Kate","F","16","Harrell","213.02812","paid","Lansing-East Lansing, MI","293","Give Me Novacaine [feat. Green Day & The Cast Of American Idiot] (Album Version)","97"
"23 Skidoo","Kate","F","17","Harrell","236.56444","paid","Lansing-East Lansing, MI","293","S-Matrix (Part 1 - A Winter Ritual)","97"
"Thurston Moore","Kate","F","18","Harrell","139.98975","paid","Lansing-East Lansing, MI","293","Feathers","97"
"Irma Thomas","Kate","F","21","Harrell","180.50567","paid","Lansing-East Lansing, MI","293","Anyone Who Knows What Love Is (Will Understand)","97"
"Micatone","Kate","F","22","Harrell","379.68934","paid","Lansing-East Lansing, MI","293","Nomad","97"
"Jonathan Coulton","Kate","F","23","Harrell","182.7522","paid","Lansing-East Lansing, MI","293","Still Alive","97"
"Deftones","Kate","F","24","Harrell","321.98485","paid","Lansing-East Lansing, MI","293","The Chauffeur (Remastered Version)","97"
"Telepopmusik","Kate","F","25","Harrell","332.95628","paid","Lansing-East Lansing, MI","293","Love Can Damage Your Health","97"
"Monsters Of Folk","Kate","F","26","Harrell","307.01669","paid","Lansing-East Lansing, MI","293","Dear God (Sincerely M.O.F.)","97"
"The All-American Rejects","Kate","F","27","Harrell","220.00281","paid","Lansing-East Lansing, MI","293","Change Your Mind","97"
"Masta Killa","Kate","F","28","Harrell","195.70893","paid","Lansing-East Lansing, MI","293","Ringing Bells","97"
"Adelitas Way","Kate","F","29","Harrell","192.26077","paid","Lansing-East Lansing, MI","293","Invincible (WWE Superstars Theme Song) (Explicit)","97"
"Feral Children","Kate","F","30","Harrell","194.5073","paid","Lansing-East Lansing, MI","293","Saint","97"
"Fusebox","Kate","F","31","Harrell","246.04689","paid","Lansing-East Lansing, MI","293","My Everything (Lost In Worship Album Version)","97"
"3OH!3","Kate","F","32","Harrell","205.81832","paid","Lansing-East Lansing, MI","293","STILLAROUND [BIGMIX] (Bonus Version)","97"
"Radiohead","Kate","F","33","Harrell","129.56689","paid","Lansing-East Lansing, MI","293","Faust Arp","97"
"Jaci Velasquez","Kate","F","34","Harrell","200.95955","paid","Lansing-East Lansing, MI","293","Something (Album Version)","97"
"Fernando Ubiergo","Kate","F","35","Harrell","173.7922","paid","Lansing-East Lansing, MI","293","Yo Pienso En Ti","97"
"Air Supply","Rylan","M","0","George","361.24689","free","Birmingham-Hoover, AL","315","It's Never Too Late (Album Version)","16"
"Death Cab for Cutie","Kate","F","36","Harrell","229.66812","paid","Lansing-East Lansing, MI","293","Cath... (Album Version)","97"
"Eminem / Nate Dogg","Rylan","M","1","George","297.9522","free","Birmingham-Hoover, AL","315","'Till I Collapse","16"
"Philippe Rochard","Kate","F","37","Harrell","360.51546","paid","Lansing-East Lansing, MI","293","Crumpshit","97"
"Weezer","Kate","F","38","Harrell","199.94077","paid","Lansing-East Lansing, MI","293","Island In The Sun","97"
"Nando Reis","Kate","F","39","Harrell","254.6673","paid","Lansing-East Lansing, MI","293","A Letra ""A","97"
"Aborted","Kate","F","40","Harrell","267.78077","paid","Lansing-East Lansing, MI","293","Skullfuck Crescendo","97"
"Walter Beasley","Kate","F","41","Harrell","287.08526","paid","Lansing-East Lansing, MI","293","Killing Me Softly","97"
"Enigma","Kate","F","42","Harrell","262.71302","paid","Lansing-East Lansing, MI","293","Knocking On Forbidden Doors","97"
"Neil Diamond","Kate","F","43","Harrell","194.40281","paid","Lansing-East Lansing, MI","293","Song Sung Blue","97"
"Deftones","Kate","F","44","Harrell","307.3824","paid","Lansing-East Lansing, MI","293","If Only Tonight We Could Sleep (Remastered Version)","97"
"Gorillaz","Kate","F","45","Harrell","284.94322","paid","Lansing-East Lansing, MI","293","Double Bass","97"
"Will Young","Kate","F","46","Harrell","213.55057","paid","Lansing-East Lansing, MI","293","Leave Right Now","97"
"Guns N' Roses","Kate","F","47","Harrell","591.96036","paid","Lansing-East Lansing, MI","293","Estranged","97"
"Harmonia","Kate","F","48","Harrell","655.77751","paid","Lansing-East Lansing, MI","293","Sehr kosmisch","97"
"Alanis Morissette","Kate","F","49","Harrell","236.45995","paid","Lansing-East Lansing, MI","293","Ironic (Acoustic Album Version)","97"
"MichÃÂ¨le Arnaud","Kate","F","50","Harrell","105.50812","paid","Lansing-East Lansing, MI","293","Chanson Sur Une Seule Note Samba De Uma Nota So","97"
"Nicola Marchioro","Kate","F","51","Harrell","201.1424","paid","Lansing-East Lansing, MI","293","Lumidee","97"
"Pantera","Kate","F","53","Harrell","346.51383","paid","Lansing-East Lansing, MI","293","Cemetary Gates (LP Version)","97"
"Godsmack","Kate","F","54","Harrell","235.93751","paid","Lansing-East Lansing, MI","293","Speak","97"
"Gorillaz","Kate","F","55","Harrell","357.61587","paid","Lansing-East Lansing, MI","293","Clint Eastwood (Explicit)","97"
"Ray Barretto","Ryann","F","1","Smith","251.79383","free","Palestine, TX","91","Indestructible","92"
"Usher featuring will.i.am","Ryann","F","2","Smith","395.72853","free","Palestine, TX","91","OMG","92"
"Mates of State","Kate","F","56","Harrell","227.36934","paid","Lansing-East Lansing, MI","293","Parachutes (Funeral Song) (LP Version)","97"
"Angelo D'Onorio","Kate","F","57","Harrell","399.98649","paid","Lansing-East Lansing, MI","293","Ain't No One Like You","97"
"Silversun Pickups","Kate","F","58","Harrell","253.75302","paid","Lansing-East Lansing, MI","293","Panic Switch (UK edit)","97"
"Blink-182","Kate","F","59","Harrell","251.81995","paid","Lansing-East Lansing, MI","293","Always","97"
"Hank Penny","Kate","F","60","Harrell","145.34485","paid","Lansing-East Lansing, MI","293","No Muss No Fuss No Bother","97"
"Carrie Underwood","Kate","F","61","Harrell","225.20118","paid","Lansing-East Lansing, MI","293","So Small","97"
"Black Box","Kate","F","62","Harrell","312.99873","paid","Lansing-East Lansing, MI","293","Fantasy","97"
"Cloud Cult","Kate","F","63","Harrell","213.31546","paid","Lansing-East Lansing, MI","293","Running With the Wolves","97"
"Cartola","Kate","F","64","Harrell","188.65587","paid","Lansing-East Lansing, MI","293","Verde Que Te Quero Rosa","97"
"Octopus Project","Kate","F","66","Harrell","422.16444","paid","Lansing-East Lansing, MI","293","The Way Things Go","97"
"Peter Tosh","Kate","F","67","Harrell","267.49342","paid","Lansing-East Lansing, MI","293","Recruiting Soldiers (2002 Digital Remaster)","97"
"Alter Bridge","Kate","F","68","Harrell","286.35383","paid","Lansing-East Lansing, MI","293","Down To My Last","97"
"Two Door Cinema Club","Kate","F","69","Harrell","207.43791","paid","Lansing-East Lansing, MI","293","Costume Party","97"
"Ray LaMontagne","Kate","F","70","Harrell","236.59057","paid","Lansing-East Lansing, MI","293","Trouble (Album Version)","97"
"Lady GaGa","Kate","F","71","Harrell","169.87383","paid","Lansing-East Lansing, MI","293","Fashion","97"
"Colt Ford","Kate","F","72","Harrell","170.84036","paid","Lansing-East Lansing, MI","293","Huntin' The World","97"
"Tracy Byrd","Kate","F","73","Harrell","182.02077","paid","Lansing-East Lansing, MI","293","Watermelon Crawl","97"
"Brand New","Kate","F","74","Harrell","386.7424","paid","Lansing-East Lansing, MI","293","Noro","97"
"Creedence Clearwater Revival","Kate","F","75","Harrell","160.02567","paid","Lansing-East Lansing, MI","293","Have You Ever Seen The Rain","97"
"Earth_ Wind & Fire","Kate","F","76","Harrell","280.47628","paid","Lansing-East Lansing, MI","293","Pure Gold","97"
"Fleet Foxes","Tegan","F","0","Levine","208.03873","free","Portland-South Portland, ME","307","Tiger Mountain Peasant Song","80"
"be your own PET","Kate","F","77","Harrell","66.87302","paid","Lansing-East Lansing, MI","293","Food Fight!","97"
"The Killers","Kate","F","78","Harrell","220.89098","paid","Lansing-East Lansing, MI","293","When You Were Young","97"
"Roy Ayers","Tegan","F","1","Levine","240.90077","free","Portland-South Portland, ME","307","Searching","80"
"Rihanna","Kate","F","79","Harrell","229.04118","paid","Lansing-East Lansing, MI","293","Take A Bow","97"
"Andres Calamaro","Kate","F","80","Harrell","144.5873","paid","Lansing-East Lansing, MI","293","El Novio Del Olvido","97"
"Blue States","Kate","F","81","Harrell","299.2322","paid","Lansing-East Lansing, MI","293","Walkabout","97"
"The Black Keys","Kate","F","82","Harrell","161.85424","paid","Lansing-East Lansing, MI","293","Act Nice and Gentle","97"
"Staind","Kate","F","83","Harrell","291.65669","paid","Lansing-East Lansing, MI","293","Outside (Original LP Version)","97"
"James Taylor","Kate","F","84","Harrell","253.12608","paid","Lansing-East Lansing, MI","293","Sweet Baby James","97"
"Moby","Kate","F","85","Harrell","198.60853","paid","Lansing-East Lansing, MI","293","Time's Up (Dust Mix)","97"
"Girl Talk","Kate","F","86","Harrell","170.73587","paid","Lansing-East Lansing, MI","293","Hold up","97"
"Sean Kingston and Justin Bieber","Kate","F","87","Harrell","201.9522","paid","Lansing-East Lansing, MI","293","Eenie Meenie","97"
"Stephen Lynch","Jayden","M","0","Bell","182.85669","free","Dallas-Fort Worth-Arlington, TX","829","Jim Henson's Dead","91"
"Manowar","Jacob","M","0","Klein","247.562","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Shell Shock","73"
"Morcheeba","Jacob","M","1","Klein","257.41016","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Women Lose Weight (Feat: Slick Rick)","73"
"Maroon 5","Jacob","M","2","Klein","231.23546","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Won't Go Home Without You","73"
"Train","Jacob","M","3","Klein","216.76363","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Hey_ Soul Sister","73"
"LMFAO","Jacob","M","4","Klein","227.99628","paid","Tampa-St. Petersburg-Clearwater, FL","1049","I'm In Miami Bitch","73"
"DJ Dizzy","Jacob","M","5","Klein","221.1522","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Sexy Bitch","73"
"Fish Go Deep & Tracey K","Jacob","M","6","Klein","377.41669","paid","Tampa-St. Petersburg-Clearwater, FL","1049","The Cure & The Cause (Dennis Ferrer Remix)","73"
"M83","Jacob","M","7","Klein","96.1824","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Staring At Me","73"
"Saybia","Jacob","M","8","Klein","257.25342","paid","Tampa-St. Petersburg-Clearwater, FL","1049","The Second You Sleep","73"
"Local Natives","Jacob","M","9","Klein","266.05669","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Wide Eyes","73"
"South Park","Jacob","M","10","Klein","112.97914","paid","Tampa-St. Petersburg-Clearwater, FL","1049","La Resistance (Medley) (LP Version)","73"
"UNKLE Feat. Josh Homme","Jacob","M","11","Klein","307.19955","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Restless","73"
"Justyna Steczkowska","Jacob","M","12","Klein","333.53098","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Noc...","73"
"Evanescence","Jacob","M","13","Klein","256.91383","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Like You","73"
"Coldplay","Jacob","M","14","Klein","297.35138","paid","Tampa-St. Petersburg-Clearwater, FL","1049","God Put A Smile Upon Your Face","73"
"Hot Chip","Jacob","M","15","Klein","333.50485","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Playboy","73"
"Ellie Goulding","Jacob","M","16","Klein","205.06077","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Every Time You Go","73"
"Postal Service","Jacob","M","17","Klein","307.53914","paid","Tampa-St. Petersburg-Clearwater, FL","1049","Natural Anthem (Album)","73"
"Jack Johnson","Aiden","M","1","Hess","240.06485","free","La Crosse-Onalaska, WI-MN","986","Taylor","86"
"Iron And Wine","Aiden","M","2","Hess","153.05098","free","La Crosse-Onalaska, WI-MN","986","Naked As We Can","86"
"The xx","Aiden","M","3","Hess","158.24934","free","La Crosse-Onalaska, WI-MN","986","Fantasy","86"
"The Antlers","Aiden","M","4","Hess","328.88118","free","La Crosse-Onalaska, WI-MN","986","Epilogue","86"
"Fattburger","Aiden","M","5","Hess","217.20771","free","La Crosse-Onalaska, WI-MN","986","Groovin'","86"
"Chris Brown","Layla","F","2","Griffin","203.80689","paid","Lake Havasu City-Kingman, AZ","1051","Ain't No Way (You Won't Love Me)","24"
"Phoenix","Layla","F","3","Griffin","278.07302","paid","Lake Havasu City-Kingman, AZ","1051","Rome","24"
"Jim Lauderdale/Ralph Stanley & The Clinch Mountain Boys","Layla","F","5","Griffin","127.05914","paid","Lake Havasu City-Kingman, AZ","1051","Highway Through My Home","24"
"Musiq","Layla","F","7","Griffin","297.84771","paid","Lake Havasu City-Kingman, AZ","1051","143","24"
"Cass McCombs feat. Karen Black","Layla","F","8","Griffin","322.06322","paid","Lake Havasu City-Kingman, AZ","1051","Dreams-Come-True-Girl","24"
"Scissor Sisters","Layla","F","10","Griffin","352.522","paid","Lake Havasu City-Kingman, AZ","1051","I Don't Feel Like Dancin'","24"
"O.A.R.","Layla","F","11","Griffin","315.74159","paid","Lake Havasu City-Kingman, AZ","1051","Right On Time (Album Version)","24"
"1 Mile North","Ryan","M","0","Smith","352.73098","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Black Lines","26"
"Muse","Layla","F","12","Griffin","304.84853","paid","Lake Havasu City-Kingman, AZ","1051","Uprising","24"
"USS (Ubiquitous Synergy Seeker)","Ryan","M","1","Smith","307.61751","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Man Makes The Zoo","26"
"The Psychedelic Furs","Layla","F","13","Griffin","417.07057","paid","Lake Havasu City-Kingman, AZ","1051","Blacks/Radio","24"
"EsmÃÂ©e Denters / Justin Timberlake","Ryan","M","2","Smith","227.52608","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Love Dealer (Featuring Justin Timberlake)","26"
"Alliance Ethnik","Layla","F","14","Griffin","252.21179","paid","Lake Havasu City-Kingman, AZ","1051","ReprÃÂ©sente","24"
"Train","Ryan","M","3","Smith","216.76363","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Hey_ Soul Sister","26"
"Hoobastank","Layla","F","15","Griffin","202.57914","paid","Lake Havasu City-Kingman, AZ","1051","Up And Gone","24"
"Ismael Serrano","Layla","F","16","Griffin","179.35628","paid","Lake Havasu City-Kingman, AZ","1051","Te Conoci","24"
"The Pussycat Dolls / Snoop Dogg","Ryan","M","6","Smith","210.31138","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Bottle Pop","26"
"Dierks Bentley","Layla","F","17","Griffin","198.63465","paid","Lake Havasu City-Kingman, AZ","1051","My Love Will Follow You","24"
"59 Times the Pain","Ryan","M","7","Smith","144.95302","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Found Home","26"
"Linkin Park","Layla","F","18","Griffin","259.86567","paid","Lake Havasu City-Kingman, AZ","1051","My December","24"
"New Order","Ryan","M","8","Smith","288.05179","free","San Jose-Sunnyvale-Santa Clara, CA","1068","The Perfect Kiss","26"
"Madeleine Peyroux","Layla","F","19","Griffin","206.18404","paid","Lake Havasu City-Kingman, AZ","1051","You're Gonna Make Me Lonesome When You Go","24"
"Bow Wow feat. Chris Brown and JohntÃÂ¡ Austin","Ryan","M","9","Smith","268.06812","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Shortie Like Mine","26"
"Symphony X","Ryan","M","10","Smith","389.45914","free","San Jose-Sunnyvale-Santa Clara, CA","1068","Domination","26"
"Minnie Riperton","Chloe","F","0","Cuevas","238.73261","paid","San Francisco-Oakland-Hayward, CA","1079","Inside My Love (Digitally Remastered 93)","49"
"Custom Blue","Chloe","F","1","Cuevas","346.51383","paid","San Francisco-Oakland-Hayward, CA","1079","Structure","49"
"Rage Against The Machine","Chloe","F","2","Cuevas","314.40934","paid","San Francisco-Oakland-Hayward, CA","1079","Killing In The Name","49"
"Milli Vanilli","Katherine","F","0","Gay","197.92934","free","San Antonio-New Braunfels, TX","1020","Girl You Know It's True","57"
"David Arkenstone","Chloe","F","3","Cuevas","363.41506","paid","San Francisco-Oakland-Hayward, CA","1079","Waterfall (Spirit Of The Rainforest Album Version)","49"
"Cosmo Vitelli","Chloe","F","4","Cuevas","206.05342","paid","San Francisco-Oakland-Hayward, CA","1079","Robot Soul (Radio Edit)","49"
"Morcheeba","Chloe","F","5","Cuevas","277.4722","paid","San Francisco-Oakland-Hayward, CA","1079","Blindfold","49"
"Jason Mraz","Chloe","F","6","Cuevas","243.48689","paid","San Francisco-Oakland-Hayward, CA","1079","I'm Yours (Album Version)","49"
